,name,description
677,Cli Jx Power Images,"Calculates x to the power of y pixel wise of two images X and Y.<br/><br/>Parameters: Image input, Image exponent, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
678,Cli Jx Proximal Neighbor Count Map,"Takes a label map, determines which labels are within a given distance range and replaces every label with the number of neighboring labels.<br/><br/><br/><br/>Parameters: Image input, ByRef Image destination, Number min_distance, Number max_distance<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
679,Cli Jx Pull 2D Point List As Roi,"<br/><br/>Parameters: Image input, ByRef Array destination<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
680,Cli Jx Pull As Roi,Pulls a binary image from the GPU memory and puts it on the currently active ImageJ window as region of interest.<br/><br/>Parameters: Image binary_input<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>
681,Cli Jx Pull Labels To Roi Manager,Pulls all labels in a label map as ROIs to the ROI manager.<br/><br/>Parameters: Image labelmap_input<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>
682,Cli Jx Pull To Results Table Column,"Copies the content of a vector image to a column in the results table.<br/>You can configure if new rows should be appended or if existing values should be overwritten.<br/><br/>Parameters: Image source, String column_name, Boolean append_new_rows<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
683,Cli Jx Pull To Roi Manager,Pulls a binary image from the GPU memory and puts it in the ROI Manager.<br/><br/>Parameters: Image binary_input<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>
684,Cli Jx Push Array,"Converts an array to a 3D image stack.<br/><br/>Parameters: ByRef Image destination, Array input, Number width, Number height, Number depth<br/>Available for: 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
685,Cli Jx Push Array 2D,"Converts an array to a 2D image.<br/><br/>Parameters: ByRef Image destination, Array input, Number width, Number height<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
686,Cli Jx Read Values From Map,"Takes a label image and an parametric image and reads parametric values from the labels positions.<br/><br/>The read intensity valus are stored in a new vector.<br/><br/>Note: This will only work if all labels have number of voxels == 1 or if all pixels in each label have the same value.<br/><br/>Parameters<br/>----------<br/>labels<br/>map_image<br/>values_destination<br/><br/>Parameters: Image labels, Image map_image, ByRef Image values_destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
687,Cli Jx Read Values From Positions,"Takes a pointlist and a parametric image and reads parametric values from the positions.<br/><br/>The read intensity values are stored in a new vector.<br/><br/>Parameters<br/>----------<br/>pointlist<br/>map_image<br/>values_destination<br/><br/>Parameters: Image pointlist, Image map_image, ByRef Image values_destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
688,Cli Jx Reduce Labels To Label Edges,"Takes a label map and reduces all labels to their edges. Label IDs stay the same and background will be zero.<br/><br/>Parameters: Image input_labels, ByRef Image destination_labels<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
689,Cli Jx Reduce Labels To Labelled Spots,"Takes a label map and reduces all labels to their center spots. Label IDs stay and background will be zero.<br/><br/>Parameters: Image input_labels, ByRef Image destination_labels<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
690,Cli Jx Replace Intensities,"Replaces integer intensities specified in a vector image. <br/><br/>The vector image must be 3D with size (m, 1, 1) where m corresponds to the maximum intensity in the original image. Assuming the vector image contains values (0, 1, 0, 2) means: <br/> * All pixels with value 0 (first entry in the vector image) get value 0<br/> * All pixels with value 1 get value 1<br/> * All pixels with value 2 get value 0<br/> * All pixels with value 3 get value 2<br/><br/><br/>Parameters: Image input, Image new_values_vector, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
691,Cli Jx Replace Intensity,"Replaces a specific intensity in an image with a given new value.<br/><br/>Parameters: Image input, ByRef Image destination, Number value_to_replace, Number value_replacement<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
692,Cli Jx Resample,"Resamples an image with given size factors using an affine transform.<br/><br/>Parameters: Image source, ByRef Image destination, Number factor_x, Number factor_y, Number factor_z, Boolean linear_interpolation<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
693,Cli Jx Reslice Bottom,"Flippes Y and Z axis of an image stack. This operation is similar to ImageJs 'Reslice [/]' method but<br/>offers less flexibility such as interpolation.<br/><br/>Parameters: Image source, ByRef Image destination<br/>Available for: 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
694,Cli Jx Reslice Left,"Flippes X, Y and Z axis of an image stack. This operation is similar to ImageJs 'Reslice [/]' method <br/> but offers less flexibility such as interpolation.<br/><br/>Parameters: Image source, ByRef Image destination<br/>Available for: 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
695,Cli Jx Reslice Radial,"Computes a radial projection of an image stack. <br/><br/>Starting point for the line is the given point in any <br/>X/Y-plane of a given input image stack. Furthermore, radius of the resulting projection must be given and scaling factors in X and Y in case pixels are not isotropic.This operation is similar to ImageJs 'Radial Reslice' method but offers less flexibility.<br/><br/>Parameters: Image source, ByRef Image destination, Number numberOfAngles, Number angleStepSize, Number startAngleDegrees, Number centerX, Number centerY, Number scaleFactorX, Number scaleFactorY<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
696,Cli Jx Reslice Right,"Flippes X, Y and Z axis of an image stack. This operation is similar to ImageJs 'Reslice [/]' method <br/> but offers less flexibility such as interpolation.<br/><br/>Parameters: Image source, ByRef Image destination<br/>Available for: 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
